Frase ;Autor;Campo ;Año Nacimiento
No hay que ir para atrás ni para darse impulso;Lao Tsé;Filosofía;700 a.c
"No hay caminos para la paz; la paz es el camino";Mahatma Gandhi;Activismo Político;1869
Haz el amor y no la guerra;John Lennon;Música ;1940
Para trabajar basta estar convencido de una cosa: que trabajar es menos aburrido que divertirse;Charles Baudelaire;Literatura;1821
Lo peor que hacen los malos es obligarnos a dudar de los buenos ;Jacinto Benavente;Literatura;1866
Las guerras seguirán mientras el color de la piel siga siendo más importante que el de los ojos;Bob Marley;Música ;1945
Aprende a vivir y sabrás morir bien ;Confucio;Pensador;551 a.c
Cada día sabemos más y entendemos menos;Albert Einstein;Ciencia ;1879
El mundo no está en peligro por las malas personas sino por aquellas que permiten la maldad;Albert Einstein;Ciencia ;1879
La medida del amor es amar sin medida;San Agustín;Religion;354
No hay nada que un hombre no sea capaz de hacer cuando una mujer le mira;Casanova;Filosofía;1725
" Dar el ejemplo no es la principal manera de influir sobre los demás; es la única manera. ";Albert Einstein;Ciencia ;1879
El dinero no puede comprar la vida ;Bob Marley;Música ;1945
Si es bueno vivir, todavía es mejor soñar, y lo mejor de todo, despertar;Antonio Machado;Literatura;1875
"La mayor declaración de amor es la que no se hace; el hombre que siente mucho, habla poco";Platón;Filosofía;427 a.c
Si das pescado a un hombre hambriento lo nutres durante una jornada. Si le enseñas a pescar, le nutrirás toda su vida ;Lao Tsé;Filosofía;700 a.c
Vale más actuar exponiéndose a arrepentirse de ello, que arrepentirse de no haber hecho nada;Giovanni Boccaccio;Literatura;1313
Ningún hombre es lo bastante bueno para gobernar a otros sin su consentimiento.;Abraham Lincoln;Política;1865
Todo lo que se come sin necesidad se roba al estómago de los pobres ;Mahatma Gandhi;Activismo Político;1869
Vivir sola es como estar en una fiesta donde nadie te hace caso;Marilyn Monroe;Cinematografía;1926
"El cuerpo humano es el carruaje; el yo, el hombre que lo conduce; el pensamiento son las riendas, y los sentimientos, los caballos";Platón;Filosofía;427 a.c
Estar preparado es importante, saber esperarlo es aún más, pero aprovechar el momento adecuado es la clave de la vida;Arthur Schnitzler;Literatura;1862
No estoy tan enamorado de mis propias opiniones que ignore lo que los demás puedan pensar acerca de ellas;Copérnico;Ciencia ;1473
La más estricta justicia no creo que sea siempre la mejor política;Abraham Lincoln;Política;1865
El sabio no dice nunca todo lo que piensa, pero siempre piensa todo lo que dice ;Aristóteles;Filosofía;384 a.c
" Hay dos cosas que son infinitas: el universo y la estupidez humana; de la primera no estoy muy seguro";Albert Einstein;Ciencia ;1879
El nacimiento y la muerte no son dos estados distintos, sino dos aspectos del mismo estado ;Mahatma Gandhi;Activismo Político;1869
Lo que importa verdaderamente en la vida no son los objetivos que nos marcamos, sino los caminos que seguimos para lograrlo;Peter Bamm;Medicina;1897
El mundo es bello, pero tiene un defecto llamado hombre;Friedrich Nietzsche;Filosofía;1844
La pereza viaja tan despacio que la pobreza no tarda en alcanzarla ;Benjamin Franklin;Política;1785
Una velada en que todos los presentes estén absolutamente de acuerdo es una velada perdida;Albert Einstein;Ciencia ;1879
Pienso, luego existo;René Descartes;Filosofía;1596
Lo que no te mata, te hace más fuerte;Friedrich Nietzsche;Filosofía;1844
No abras los labios si no estás seguro de que lo que vas a decir es más hermoso que el silencio ;Dichos populares ;C;
De todos los animales de la creación el hombre es el único que bebe sin tener sed, come sin tener hambre y habla sin tener nada que decir;John Steinbeck;Literatura;1902
La esperanza es un estimulante vital muy superior a la suerte;Friedrich Nietzsche;Filosofía;1844
Un hermano puede no ser un amigo, pero un amigo será siempre un hermano.;Benjamin Franklin;Política;1785
Sólo puede ser feliz siempre el que sepa ser feliz con todo;Confucio;Pensador;551 a.c
Ninguna persona merece tus lágrimas, y quien se las merezca no te hará llorar;Gabriel García Márquez;Literatura;1927
De humanos es errar y de necios permanecer en el error ;Marco Tulio Cicerón;Filosofía;63 a.c
Algunas personas son tan falsas que ya no distinguen que lo que piensan es justamente lo contrario de lo que dicen ;Marcel Aymé;Literatura;1902
La verdadera sabiduría está en reconocer la propia ignorancia;Sócrates;Filosofía;470 a.c
La peor experiencia es la mejor maestra;Dichos populares ;;
La Educación es el pasaporte hacia el futuro, el mañana pertenece a aquellos que se preparan para él en el día de hoy;Malcolm X;Activismo Político;1925
Los amigos se convierten con frecuencia en ladrones de nuestro tiempo ;Platón;Filosofía;427 a.c
No permitas que ningún ser humano te haga caer tan bajo como para odiarle;Martin Luther King;Activismo Político;1929
"El pesimista se queja del viento; el optimista espera que cambie; el realista ajusta las velas ";William George Ward;Religion;1812
Un amigo de todos es una amigo de nadie;Aristóteles;Filosofía;384 a.c
Hace falta toda una vida para aprender a vivir;Séneca;Filosofía;4 a.c
No pain no gain;Benjamin Franklin;Política;1785
Estos son mis principios y si no te gustan, tengo otros;Groucho Marx;Cinematografía;1890
La política es el arte de buscar problemas, encontrarlos, realizar un diagnóstico falso y aplicar después remedios equivocados;Groucho Marx;Cinematografía;1890
Los verdaderos líderes deben estar dispuestos a sacrificarlo todo por la libertad de su pueblo ;Nelson Mandela;Política;1918
Es mejor permanecer callado y parecer tonto que hablar y despejar las dudas definitivamente;Groucho Marx;Cinematografía;1890
Aquel que más posee, más miedo tiene de perderlo ;Leonardo Da Vinci;Pintor;1452
La inspiración existe, pero tiene que encontrarte trabajando;Picasso;Pintor;1881
Incluso la gente que afirma que no podemos hacer nada para cambiar nuestro destino, mira antes de cruzar la calle;Stephen Hawking;Ciencia ;1942
Ojo por ojo y el mundo acabará ciego ;Mahatma Gandhi;Activismo Político;1869
"Vive como si fueras a morir mañana; aprende como si el mundo fuera a durar para siempre";Mahatma Gandhi;Activismo Político;1869
Solo sé que no sé nada;Sócrates;Filosofía;470 a.c
Nunca rompas el silencio si no es para mejorarlo;Beethoven;Música ;1770
Puedes engañar a todo el mundo algún tiempo. Puedes engañar a algunos todo el tiempo. Pero no puedes engañar a todo el mundo todo el tiempo;Abraham Lincoln;Política;1865
La mejor manera de librarse de la tentación es caer en ella;Oscar Wilde;Literatura;1854
La duda es la madre de la invención;Galileo Galilei;Ciencia ;1564
Podrán cortar todas las flores, pero no podrán detener la primavera;Pablo Neruda;Literatura;1904
Es tan corto el amor y tan largo el olvido;Pablo Neruda;Literatura;1904
Uno llega a ser grande por lo que lee y no por lo que escribe;Borges;Literatura;1899
Uno es dueño de lo que calla y esclavo de lo que habla;Sigmund Freud;Psicología;1856
El único hombre que no se equivoca es el que nunca hace nada;Goethe;Literatura;1749
Vale más hacer y arrepentirse, que no hacer y arrepentirse;Maquiavelo;Filosofía;1469
Si quieres cambiar al mundo, cámbiate a ti mismo;Mahatma Gandhi;Activismo Político;1869
Un amigo fiel es un alma en dos cuerpos;Aristóteles;Filosofía;384 a.c
La vida no es sino una continua sucesión de oportunidades para sobrevivir ;Gabriel García Márquez;Literatura;1927
Se necesita poco para hacer las cosas bien, pero menos aún para hacerlas mal. ;Paul Bocuse;Cocina;1926
"Con veinte años todos tienen el rostro que Dios les ha dado; con cuarenta el rostro que les ha dado la vida y con sesenta el que se merecen ";Albert Schweitzer;Filosofía;1875
El amor no tiene cura, pero es la única medicina para todos los males;Konrad Adenauer;Política;1876
No hay camino para la verdad, la verdad es el camino;Mahatma Gandhi;Activismo Político;1869
El éxito tiene muchos padres, pero el fracaso es huérfano;John Fitzgerald Kennedy;Política;1917
Quien no haya sufrido lo que yo, que no me de consejos;Sófocles;Literatura;497 a.c
La vida es un diez por ciento como la hacemos y un noventa por ciento como la tomamos;Irving Berlín;Música ;1888
El hombre que más ha vivido no es aquél que más años ha cumplido, sino aquel que más ha experimentado la vida ;Jean Jacques Rousseau;Filosofía;1712
En los momentos de crisis, solo la imaginación es más importante que el conocimiento;Albert Einstein;Ciencia ;1879
Nuestros hijos no tendrán tiempo para discutir sobre el cambio climático. Solo podrán convivir con sus efectos;Barack Obama;Política;1961
Yo traeré de regreso el sueño americano: más grande, mejor y más fuerte que nunca. Volveremos hacer de EE.UU una nación poderosa;Donald Trump;Política;1946
Si quieres cambiar el mundo, toma tu pluma y escribe.;Martín Lutero;Religion;1483
Hay verdades que no son para todos los hombres, ni para todos los tiempos;Voltaire;Literatura;1694
